Date,Forecasted_Demand,Inventory_Level,Reorder_Point,Safety_Stock,EOQ
2017-11-02,104.74096684779647,1173.172476086557,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-03,26.36724434674059,1146.8052317398165,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-04,7.385236130341241,1139.4199956094753,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-05,60.02655044679434,1079.393445162681,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-06,4.392312860529678,1075.0011323021513,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-07,11.301317964602408,1063.6998143375488,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-08,84.22927517619468,979.470539161354,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-09,33.89994705847272,945.5705921028814,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-10,55.96228224204279,889.6083098608386,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-11,4.859528744432737,884.7487811164059,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-12,46.321921433618414,838.4268596827875,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-13,3.726633356606648,834.7002263261809,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-14,9.059020164760234,825.6412061614207,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-15,178.77783662317455,646.8633695382462,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-16,50.67383080171605,596.1895387365302,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-17,49.48114619873823,546.708392537792,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-18,5.812152260548331,540.8962402772436,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-19,49.86003932358933,491.03620095365426,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-20,4.2435384576007635,1550.0380866748199,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-21,9.938498858292194,1540.0995878165277,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-22,157.2464900458382,1382.8530977706896,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-23,47.14613607561108,1335.7069616950785,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-24,51.335094687213996,1284.3718670078645,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-25,5.942920921045662,1278.4289460868188,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-26,49.39013482581812,1229.0388112610005,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-27,4.471055672444422,1224.567755588556,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-28,10.080103564007775,1214.4876520245484,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-29,162.57460695519242,1051.913045069356,513.1109225285866,214.66801875558713,1063.2454241787664
2017-11-30,48.304295375096274,1003.6087496942598,513.1109225285866,214.66801875558713,1063.2454241787664
2017-12-01,51.24552630304842,952.3632233912114,513.1109225285866,214.66801875558713,1063.2454241787664
2017-12-02,6.25054613168588,946.1126772595255,513.1109225285866,214.66801875558713,1063.2454241787664
2017-12-03,49.835129368283006,896.2775478912425,513.1109225285866,214.66801875558713,1063.2454241787664
